Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.2029708777101231,0.982753303485814,0.07387700743222395,0.5024584280083862,0.8703008462019834,0.542691115832524
1000,0.2268180733994335,0.9783447077607992,0.09901104708566394,0.4388289143252655,0.8989645479665169,0.4227555893547622
1500,0.24233255966830333,0.9753281584854007,0.11207184114144514,0.38729546197297665,0.9233922580580498,0.32054442714893616
2000,0.12428257978334581,0.9915033516939122,0.03793323825757813,0.35001614954769333,0.9406155536095372,0.24847819381247058
2500,0.24357281137949954,0.9731530263304501,0.11905395898841126,0.33551288788511835,0.9466471453596388,0.22324062547639287
3000,0.14106356777768428,0.9891425372303883,0.048470066154170176,0.33042487259409115,0.9480384274563736,0.21741918091484522
