Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.2629797812582548,0.9834612152901027,0.12273868409816673,0.6854895538307346,0.8745120932197579,0.8837902764022165
1000,0.2800701575326228,0.9788312769486043,0.14418271582030145,0.5898629365756718,0.9105591681821495,0.6299167744695225
1500,0.28943694719534185,0.9764289612102725,0.1560737837382906,0.5133201675137578,0.9272119995173854,0.5126336769482489
2000,0.29232495920731666,0.9754881268628061,0.1632513299874944,0.49893515695435514,0.9291579258929512,0.4989288439213388
2500,0.2956215149375396,0.9747540570929066,0.16633597511663226,0.48121235746194874,0.9353835161137647,0.45508305636146534
3000,0.16705131399526196,0.9905860061297681,0.06253800796033367,0.4384999859715401,0.9439725445793705,0.3945919697188488
