Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.292563909021091,0.9640255363107757,0.1582087617025556,0.5255437850000808,0.8571288173673948,0.6024311902671847
1000,0.20374116349561489,0.9816067333057595,0.08248275323745792,0.432678276452611,0.9169720224192622,0.3500960966219792
1500,0.22683669798228312,0.9759327989911646,0.10485874188571236,0.38832533569991995,0.9350901297891897,0.27369921386975965
2000,0.22738443344659023,0.9762875841846687,0.10484290402001857,0.3711014053244627,0.9401472807544778,0.25237521123156736
2500,0.22579558417437764,0.9769121665905691,0.10260320247957157,0.351702076552417,0.9457426031008292,0.22878195303261267
3000,0.22557031858644377,0.9764915207217706,0.10254813658307428,0.34425084846073734,0.947569476668838,0.22107875076492162
