Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.4762791652171646,0.9463283565411402,0.39831142415102605,0.9263126398432006,0.7751270961778379,1.5837421383751145
1000,0.5453672002363092,0.913669150011792,0.5880097906781461,0.8450172349590411,0.8094387521272519,1.3420909014279951
1500,0.5601554147144645,0.9027734569112603,0.6437779257427866,0.8101590909762934,0.8256119818882877,1.2281855573389113
2000,0.5609060160394425,0.90469144870283,0.6347637192538724,0.7813516012893199,0.83834536809986,1.1385064543224794
2500,0.5634622117705159,0.9021341419507858,0.6448011464316568,0.7481660990177161,0.8529780358563306,1.0354510299966906
3000,0.5164169314936773,0.9135110253937484,0.5745540369970115,0.7141879934483265,0.8620241714053615,0.9717406148468798
