Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
4633,0.8511997973624092,0.7221445838716616,1.3326701354208066,0.8744475335024553,0.711287563982099,1.3435270191162696
9267,0.8284274470306094,0.7369967440165155,1.2575073512251669,0.8548002142405889,0.7211027252602482,1.297852040386363
13900,0.8346187478789524,0.729382585947356,1.2784108889343397,0.8470249415224305,0.7244425391365039,1.282310173733654
18534,0.8402142071027766,0.7287665184221365,1.2959556159702283,0.8423433897229423,0.7265337436121118,1.2725787269202518
23167,0.8295314427078351,0.7343289493497998,1.2677622326837261,0.8356775369414929,0.7294661483288588,1.2589327440098053
27801,0.8292675959883701,0.7327306610790075,1.2737100196913538,0.8326566313392595,0.731684715831899,1.2486086117168582
