Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.40449384097126473,0.934843512666086,0.29612122647226546,0.5662410742870101,0.861310639880952,0.5731144976900742
1000,0.26929576833664204,0.9690822654285826,0.13731232149480888,0.49422052227502516,0.8893587463561519,0.45720959741586675
1500,0.2747596918332513,0.9662677376079334,0.14808220076323975,0.435821994539419,0.9100413665535416,0.37174154510697477
2000,0.28113540944628995,0.9661270997834212,0.15346530841484646,0.417066310493087,0.9211552708225936,0.32581488096297806
2500,0.2859020215788491,0.9645392078879808,0.1601238152684367,0.3895978567417952,0.926876353008195,0.3021733042751189
3000,0.28605302331392385,0.9637930388739437,0.1618935388409376,0.3771451916698236,0.9340853362372785,0.2723831833988967
