Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.21440812428799844,0.9795342248317113,0.08846974710527587,0.5231891157225913,0.8805691487054494,0.4792927921760647
1000,0.2480131408260125,0.9718613640140076,0.11895155886776965,0.42592954213395434,0.9147297311195655,0.3422015736998438
1500,0.25626479638353666,0.9687054087265253,0.12958487687211295,0.4031874944516841,0.9204749162446484,0.3191453383107301
2000,0.2629560155934389,0.9685499130380166,0.1349292435382176,0.37740281168509726,0.9327927527567599,0.26971212912345244
2500,0.2695626448215774,0.9674548242686538,0.14197012354200095,0.37136713640452534,0.9334708507199666,0.26699082669086177
3000,0.17205375785892632,0.9845138210005593,0.06797504882853389,0.3575610033554621,0.9362762083741286,0.2557325321334556
