Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.20492890655602786,0.9881188574790593,0.07287809939494812,0.6752039089847712,0.837481678905751,1.0853763393246953
1000,0.23126229048336586,0.9860254315272128,0.09391312711026924,0.5306814977963684,0.9123283271545284,0.5855140435539334
1500,0.2523590190893469,0.9817175671283568,0.12160236103527916,0.4955081716593673,0.9286647676646842,0.4764113535979759
2000,0.26087793959000066,0.9810208077362592,0.12836660844356262,0.46839362300629295,0.9362752257036842,0.4255850157959532
2500,0.2637982784174556,0.9810358152470117,0.12883845416545828,0.4483096288591086,0.9396376567293405,0.4031290671171436
3000,0.2647677232292208,0.9805950377391129,0.12990075884110142,0.43390584521121145,0.9438312908744992,0.37512194000499616
