Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.24847410793916763,0.9720475453291766,0.10773673033893025,0.4647036239990448,0.912584395228192,0.4168256000187679
1000,0.16619693336483152,0.9860842485095438,0.057141390874984016,0.3931369691005882,0.9371818557546991,0.2995370304359842
1500,0.17184269130145755,0.9863541472749162,0.05942577748975912,0.3683841165583076,0.9440176443744424,0.26694180100911163
2000,0.1741038532465925,0.9861246117276293,0.06043616077266475,0.354617548568586,0.9453445644057619,0.2606146213290592
2500,0.17506901653439216,0.9864760653039799,0.05981354205220669,0.3298329788335528,0.9511302679639881,0.2330265337846924
3000,0.1774855291200259,0.9859467411462608,0.06156879677651835,0.31731368738499854,0.9534909442545695,0.2217700731808872
