Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
4633,0.6895072803386544,0.8068847937047203,0.9457379722418775,0.8026103975062944,0.7439794854489175,1.1961044866462553
9267,0.7076910973929321,0.7994144289219258,0.9688022394201373,0.7695562429662348,0.760452594326812,1.1191436248480866
13900,0.7029291231270102,0.7981214969438896,0.9648131625604361,0.7617996424698529,0.7642096970394998,1.1015907837434722
18534,0.7053888364052321,0.796147198014322,0.9752879245683858,0.7547773446216786,0.7681723531224842,1.083077616045936
23167,0.6974173926774662,0.7994990289075775,0.9563689700939884,0.7485698551403217,0.7705772931689477,1.0718419555570327
27801,0.6990697573185151,0.7970247464646609,0.9665315855196155,0.7444654402342318,0.7732799776436097,1.0592152602634912
