Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.1125179436061578,0.9946492699153048,0.02353148022489649,0.44700247123859715,0.8822287041746325,0.49659490889657765
1000,0.24276115962281727,0.9764119409275644,0.10577827680993224,0.35635508600031063,0.9413876469240557,0.24714507836546304
1500,0.15986400672560064,0.987921733244436,0.05262397798911127,0.31814760659761127,0.9502193535667279,0.2099052694215044
2000,0.16370631723187767,0.9875868509128575,0.05488393120569414,0.30172363408553937,0.9567646788704738,0.18230622501825838
2500,0.1657900171656823,0.9877576414717949,0.0544055030466325,0.289554041436924,0.9592204419589659,0.17195124472654436
3000,0.16711927429230952,0.9871907673225863,0.055876134163397616,0.28004619111863305,0.962385339730403,0.15860612434335486
