Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.3897873414425245,0.9592069412401092,0.273231895237928,0.835933298040289,0.7974597713090088,1.358793571381733
1000,0.4269693288929643,0.9528598595965164,0.33537118766752444,0.7140887543388803,0.835056332124519,1.1065673076298645
1500,0.4471330479678098,0.9478225878813118,0.36086744844784935,0.696005612748127,0.8491034453298161,1.0123286112326684
2000,0.4604604641650832,0.9399185430746834,0.4003735404036328,0.6613614419214819,0.8619431841867604,0.9261898982975025
2500,0.47356830287623997,0.9367141818860746,0.4240254263574813,0.6441712454664471,0.8711250063729699,0.8645912665549361
3000,0.4799673276438781,0.9332534991354785,0.4464713002915265,0.6144081125476368,0.8834313577138313,0.7820309218905709
