Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.41347170121971216,0.9490490077687451,0.32031855211733323,0.8440328735265739,0.8151206273806763,1.3050308409037776
1000,0.44470406431935,0.939293076250776,0.3926054344487941,0.7606821650102302,0.849286168160286,1.0638623223078518
1500,0.46268941933048874,0.9364330196223958,0.42046214420974304,0.7127326884439888,0.8652325117482689,0.9512998991065593
2000,0.4646999524548003,0.9368132211993764,0.41396706918548715,0.6860234282819134,0.8708786799699689,0.9114445947648392
2500,0.47469941718473957,0.935478207639625,0.4318566044656427,0.6630314769145066,0.8782215781065483,0.8596123736030855
3000,0.47629276869636167,0.9342791331832635,0.4363475734616896,0.6458168638053005,0.8834700493613029,0.8225643419162031
