Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.3895738474888104,0.9443413309875661,0.2579236141563919,0.5222111870517502,0.8945225759570588,0.4559977542055311
1000,0.28992161906201924,0.9617935323543556,0.17149643535424222,0.45719658013944564,0.9070971638587987,0.40163556347816703
1500,0.2958160384493629,0.9610017157562938,0.1771784625134809,0.4320529011363262,0.9143802298860316,0.3701495674720757
2000,0.29543961765980087,0.9598228673568352,0.17960743090770068,0.4266529230041829,0.9153033630379178,0.36615869788161826
2500,0.30044721863649065,0.9578113815910891,0.1846152426721837,0.4133280366682363,0.9189006911101055,0.35060680574031705
3000,0.3008447501730501,0.9580080764312372,0.18257579025774665,0.4012088826132603,0.9245224014322735,0.3263031473512097
