Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.43110984981523115,0.9301657183854565,0.3173807239719712,0.590679510430718,0.8426405839909225,0.6502659078204203
1000,0.323145627220764,0.9546671986157271,0.20133273942044216,0.5420514675277356,0.8706627042486724,0.5344683919767695
1500,0.3248873929787211,0.9532001511473347,0.2054479635234775,0.510227415595831,0.8843840823056588,0.47776670494039486
2000,0.3293895234630422,0.9538584087078942,0.2090501106524383,0.47155865866350133,0.9059844639564844,0.3885061310283042
2500,0.3359416596164947,0.9515108953143729,0.21895338425284622,0.4576956497992976,0.9112736307861002,0.36664938449668616
3000,0.33426653704452336,0.9513149866338573,0.2176871203004963,0.453813645596946,0.9099094103785552,0.3722868356532682
