Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.3606471559948503,0.950347773434746,0.23100024432147148,0.5464470131344068,0.8644431293731323,0.5874943542014498
1000,0.2820473177196313,0.9644807185264693,0.1555080287821217,0.5142832969116918,0.8800507235123336,0.5198520916068227
1500,0.31114938000186804,0.9561228016783695,0.1867054151536094,0.49603848749833807,0.8862754998244182,0.49287433000311276
2000,0.2897483709189352,0.9613899914354083,0.16692978070804404,0.4856593246212076,0.8891145619249752,0.48057002593064946
2500,0.2962150499511195,0.9593828421233189,0.1740434778362332,0.4580252367054254,0.9014434037833753,0.4271376550581329
3000,0.2989015724806079,0.9583898043286727,0.18084641591797657,0.44440333535818893,0.9083754811705536,0.3970944981969449
