Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.31808181024257426,0.9569113041736735,0.18457238458321706,0.5841721532535503,0.8457380351977732,0.6454675713568012
1000,0.32370780955686274,0.9552857610323087,0.20443980025425434,0.5310939299336419,0.8744509064854518,0.5253263082755294
1500,0.1849341949175767,0.9837612850587375,0.073764363319271,0.4956883316123248,0.8812016977824404,0.49707944347777844
2000,0.19390828553124198,0.9816380386214051,0.0819768726159509,0.4561505909664212,0.901828510390517,0.41077211129750735
2500,0.20238993607779546,0.9792946734989956,0.09181858344384367,0.43224795453633263,0.9138907514744044,0.36030091791215896
3000,0.20342081612798885,0.9791604134040752,0.09303242961671689,0.4086420041190331,0.9237969332637758,0.31885117293320603
