Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.3150142241600343,0.9598365699196758,0.17774787415100043,0.6430303383618526,0.8060774412878261,0.8184755096870778
1000,0.34141186041589855,0.9530008105347314,0.21797828217967727,0.5522341429109529,0.8771671441161255,0.5184321256563647
1500,0.36009752730015604,0.9457933413560115,0.2446203113387675,0.49856189060175266,0.9004648734561332,0.420101013367275
2000,0.20073330697205782,0.9803258995057123,0.08952696746597234,0.464629981133595,0.9059027225659149,0.39714986033336797
2500,0.20102823220160004,0.980145961550146,0.08994273693865135,0.43733972205000743,0.9139225254934262,0.3633012336842769
3000,0.20391390344366808,0.9790384847308092,0.09345953583155828,0.4266604135593515,0.917574658695629,0.3478869280770851
