Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
4633,1.1203571564596884,0.5364190995991095,2.1548453018389764,1.1728140486507144,0.502473900768329,2.3807323260630366
9267,1.0454052029964007,0.6017814481358923,1.8877652683790167,1.1406537276853397,0.5265159543169581,2.2656877200482928
13900,1.0559910457110138,0.5928055858256802,1.926117066006643,1.1262473274607578,0.5368713910080812,2.2161354997343667
18534,1.0574016342556274,0.5903048988044681,1.9386322023006564,1.1146121302188572,0.5445291388006703,2.17949210003572
23167,1.0587960340181757,0.5879853653487768,1.9445439809259089,1.1070559019697819,0.5483489534360974,2.1612137500231805
27801,1.0623999252563197,0.5876153022563889,1.9577801992507955,1.098832880375417,0.5534799141781173,2.136661381572256
