Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
4633,1.1125148253466919,0.5383373572935493,2.1170711031772287,1.1817521577601118,0.5034730731202837,2.3777361627839455
9267,1.0289558057708716,0.604130349138122,1.8414546843669903,1.1556522750217986,0.5217065186285357,2.290421013473576
13900,1.0418085994538606,0.6027660267702021,1.8780929380942963,1.139109486746873,0.531949155541159,2.241371733623926
18534,1.051622111014662,0.5939010952662003,1.9102912384890285,1.1324579020661587,0.5373804984462816,2.215362468589406
23167,1.0548046170002052,0.5917622310416439,1.928290181114673,1.128639287718054,0.5409627255322329,2.198208130275678
27801,1.059482972748931,0.588714670243281,1.9523590573272547,1.12418200770118,0.5444461756411312,2.181526808786768
