Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.30911248390690116,0.960239956689946,0.167269831274357,0.6011755386399377,0.8576735479073007,0.6177073082030357
1000,0.3231035034190949,0.9571816516519684,0.1870705319813398,0.5348342507507649,0.884158023648066,0.5027627284818926
1500,0.17591051555425102,0.9848085276587386,0.06585250150635064,0.5085804690451543,0.8875824946295293,0.4879002716379503
2000,0.18807597703597922,0.9823634454573452,0.07635775835931752,0.48067750135859455,0.8948828382530728,0.4562162414218444
2500,0.19913169853777282,0.9793491964522582,0.0901398150114028,0.4547145119866702,0.9023410214312267,0.423847175887477
3000,0.20361372342351827,0.9792436447997713,0.09220548989758015,0.434834313628486,0.9055259709276142,0.41002425996953645
