Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
4633,1.0218806109343392,0.6127956761862875,1.8278054521398717,1.1826315784706967,0.4954148957693735,2.3974479431243525
9267,1.0405820177815783,0.5970129648032542,1.8785604329391306,1.1648087815906474,0.5097088080177569,2.3295329170330876
13900,1.049229605130823,0.5937102446542943,1.9081634448789995,1.1488166400499311,0.5218393561005299,2.2718967377123382
18534,1.057138045642974,0.5912875497425651,1.9297609551251753,1.1354797771006773,0.5311588677425126,2.2276167067925536
23167,1.056454014109727,0.5911412352670349,1.9319969299711084,1.1327816279641785,0.5334343922787668,2.2168049496217
27801,1.0593936916125868,0.5892641230476976,1.951870410943735,1.1246815203650735,0.538634571478819,2.192097206918806
