Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.3274888258244505,0.9587606426432267,0.19535395722941656,0.6384523825367885,0.8254929501934486,0.7776020159196622
1000,0.34675736666245405,0.9501097694052343,0.2219377548942616,0.5594238266825362,0.8661946219840648,0.5962356924916479
1500,0.35147253624606334,0.9462682868909351,0.23159270020954412,0.5130405644443815,0.88006123598704,0.5344461715832006
2000,0.3504336977093322,0.9463097535777351,0.23523791696501256,0.49642197907983493,0.8854841269576161,0.5102818128624091
2500,0.1988373683791006,0.9797155980222582,0.08828430144041678,0.4614874634262051,0.8938150302426539,0.4731593745651694
3000,0.20251347581054255,0.9792664634001422,0.09178977085385409,0.44104595526693663,0.9007462424110245,0.4422739486705324
