Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.2956600154110391,0.9636790465114091,0.16354519067882167,0.6018499934810201,0.8534958244888198,0.6190931924422836
1000,0.3130680101881585,0.9593694282320129,0.18851301513586016,0.5400432791537546,0.8739483829869379,0.5326653504368781
1500,0.19083076785464065,0.9829032902000414,0.07887816786619413,0.5414528865657282,0.873240940898827,0.5356548391614717
2000,0.3356704450914563,0.9524929908442871,0.21599508840141357,0.48616700989224615,0.8923092616945698,0.45507646960470044
2500,0.19579165859719191,0.9810590069294796,0.08645923144116721,0.4650361038032295,0.8943048606598532,0.4466435240593531
3000,0.19873282256940805,0.9802144154589535,0.08822233876884779,0.4464921763955459,0.9007273298238476,0.4195036359010386
