SMILES,molar_mass,log_p_sat,c,volatility
CC(C)(C=O)O,88.1051,0.0899051114393979,43.71567223953823,VOC
CC(C)C(=O)C=CC1C(C(=O)OON(=O)=O)O1,245.1861,-4.171984935776023,0.006656438305810732,IVOC
CC(=O)OO,76.0514,0.8802417758954804,232.85200958211985,VOC
C1=CC(=O)C(C(C1=O)O)O,142.1094,-4.920818753952375,0.0006879154336551585,IVOC
CC(CO)(C(CON(=O)=O)O)ON(=O)=O,226.1415,-3.747146969020106,0.016329177156910547,IVOC
CC(C(=O)C)C(CO)O,132.1577,-2.7878123955960423,0.08689825940166536,IVOC
CC(C(C)(C)O)OO,120.147,-3.1186153432294272,0.03688319963188322,IVOC
Cc1ccccc1C(C)OO,152.1904,-3.0254883072626715,0.057893519528115514,IVOC
CCC12C(C(C=C(C1(O)OO)N(=O)=O)(N(=O)=O)OO2)ON(=O)=O,339.17,-5.131943638176958,0.0010097289183135275,IVOC
CC1=CC2(C)C(C(C)(C1=O)OO2)O,184.1892,-5.015022873584506,0.0007177484929289718,IVOC
CCCCC(C)(C)OO,132.2007,-1.6757175447023074,1.1252453095158415,IVOC
CC(=O)C1CCC(C)(C(=O)C1)O,170.2057,-4.199282921717615,0.004339325011181665,IVOC
CC(=CC=O)CON(=O)=O,145.1134,-1.9430951486635275,0.6673341813818486,IVOC
CC(C)(C(=O)O)ON(=O)=O,149.1021,-1.7033348097384688,1.1909127688784231,IVOC
CCCC(C=O)O,102.1317,-0.39040559077478,16.76818170076685,VOC
C=C(CCON(=O)=O)C1CC(C)(C)C1CCC(=O)C,269.3367,-5.651695136951839,0.00024228771771304405,SVOC
Cc1cc(c(c(C)c1C)O)O,152.1904,-3.623423042943488,0.014611513942408786,IVOC
CC1(C)C2CC1C(C)(C(C2)O)ON(=O)=O,215.2463,-2.9746941347352296,0.09203914197770545,IVOC
C(C=O)C(=O)C(=O)C=O,128.0829,-2.2984320149440727,0.25989034070316624,IVOC
CC(C)c1cccc(c1O)O,152.1904,-3.285670240254767,0.03180153034524267,IVOC
CCCC(=O)OC=O,116.1152,-0.5086383061657274,14.5205066367919,VOC
CC(=O)C(CC=O)CC(=O)C(=O)C,184.1892,-4.6307841425898575,0.001738645417654028,IVOC
CCc1ccccc1O,122.1644,-1.8068754016455384,0.7687767949494465,IVOC
CC1(C)C(CC1C(=O)O)CC(=O)OON(=O)=O,247.202,-5.063486257521107,0.0008615822116053133,IVOC
C=CCO,58.0791,0.1583624920952496,33.73753679584993,VOC
CC(C)(C=O)C(C=O)C(=O)COO,188.1779,-4.032452023781138,0.00704445817809226,IVOC
C=C(C)C(CC=O)CC(=O)OON(=O)=O,217.176,-2.7423214251308154,0.158570138696714,IVOC
C=C(CCC(=O)OO)C1CC(C)(C)C1CCC(=O)C,268.3487,-6.555955204081924,3.0093679604176328e-05,SVOC
C(C(Cl)Cl)O,114.9586,-0.7721132953863264,7.8371682801916975,VOC
CCC1(C(=O)O)C(C)(C=CC=O)O1,184.1892,-5.555955204081924,0.0002065570197041966,SVOC
Cc1ccc(C)c(c1O)OO,154.1632,-3.170696227168975,0.04197739563828122,IVOC
C=C(CCO)C1(CC(C)(C)C1CC=O)ON(=O)=O,257.283,-4.931814138253839,0.0012143054777106399,IVOC
CC(COO)O,92.0938,-2.7423214251308154,0.0672418989165812,IVOC
C(=O)C(CO)(CO)O,120.1039,-3.424812155072339,0.018216962158507266,IVOC
CCCCCCCC,114.2285,0.8034571156484139,293.06407950520844,VOC
C(C=O)C(=O)C(=O)CO,130.0987,-2.7670038896078464,0.08974289362320367,IVOC
CC(=O)C1CCC(C)(C(C1)O)OO,188.2209,-6.327902142064283,3.5685904170682405e-05,SVOC
c1ccc(cc1)CC=O,120.1485,-1.692503962086787,0.9838873852670845,IVOC
CC(CO)O,76.0944,-2.016373712875465,0.2956037814544295,IVOC
CC(C=O)(C(=O)CO)OO,148.114,-2.72584215073632,0.11232720724077849,IVOC
Cc1cc(C)c(c(C)c1)O,136.191,-2.099086932262331,0.43731309057578155,IVOC
Cc1ccccc1CO,122.1644,-2.2941362877160807,0.2503452639963582,IVOC
