Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.2184898101208638,0.987284880402828,0.08418782436252013,0.6117941496853907,0.8935536079975281,0.6652229495773794
1000,0.24308114523185542,0.9846165750857091,0.10131992214752822,0.5366125236814274,0.9169841322284084,0.5187969209840526
1500,0.25119889357565484,0.9833060370770808,0.1121734973820647,0.49400050949324475,0.9296555391302805,0.43960860359737364
2000,0.2555049332003176,0.9823688829076065,0.1161511947910558,0.46423087653855916,0.9357263527758279,0.4016698394584084
2500,0.2678673444227137,0.9796566684066995,0.1365218529344133,0.43796219608055037,0.9440691991633795,0.34953230076504305
3000,0.13654167261234948,0.9935808088256244,0.04333048911437798,0.42098462458430636,0.9456775670025624,0.3394810141233888
