Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.13220552247223288,0.9930410206167803,0.0307977627696173,0.4951588155657072,0.8512493305350349,0.6278216459970227
1000,0.16169351532748955,0.989579554391337,0.0483291490590845,0.3763497994766515,0.9328948387586992,0.28322610538120596
1500,0.183127126105303,0.984609352255744,0.06945392202887121,0.3460237104345724,0.9467902699461297,0.22457862156611158
2000,0.1903531057398886,0.9840267555833221,0.0726862269323651,0.33067552220348395,0.9515376319141678,0.20454175977827663
2500,0.1904165985502438,0.9842933296931525,0.07115433563599757,0.31695513468044423,0.9541205534275389,0.19364020187713613
3000,0.1930998710281395,0.9835906407523856,0.07316317923015019,0.3049143774920964,0.9576986258120523,0.1785384796326468
