Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.224667553544353,0.9767436148652165,0.08532053912607192,0.4085372663059726,0.9291218526048216,0.3360455772844277
1000,0.15303556931992995,0.9873514369652316,0.05057037873525897,0.35920228262663906,0.94171846615775,0.27632284991654726
1500,0.1666170163535296,0.9867710364208059,0.05578826760469483,0.3307945042346014,0.9511650212667779,0.23153509541637282
2000,0.17083401663604605,0.9864433774675804,0.057942500999166695,0.31926915925476285,0.9528563679894795,0.22351612755806444
2500,0.17267098649337853,0.9865585445337736,0.05857698760047087,0.29515884271043397,0.9595381099226058,0.19183683136167806
3000,0.176423900973081,0.9855034204125412,0.06216838337646643,0.2833792950226703,0.9620076484778411,0.18012832119431607
