Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.2598058512192187,0.9729812666406146,0.11679696897645454,0.4170934273351486,0.921462542276123,0.31518185623620526
1000,0.1524926496645469,0.9894959771494487,0.04440406752757106,0.35299984214587393,0.9416619755978555,0.23411869129844406
1500,0.1561551819070642,0.988618721422045,0.047127683192386055,0.3200151482415318,0.9499753600919657,0.2007559108826177
2000,0.15701859754495712,0.9891322554286616,0.04662551667185538,0.29523834510419084,0.9574326047301743,0.17082894003844262
2500,0.16049141771022113,0.9885448104622264,0.04997037617186313,0.2903934280798964,0.958233976018921,0.16761292442447176
3000,0.1629335047246423,0.9879839772772518,0.052743141567269586,0.2841455676011969,0.9593177732421138,0.16326349384078107
