Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.19886560522138416,0.9887891762008167,0.0687664111171216,0.6586452682926118,0.848608576231813,1.0110655108194024
1000,0.2263824895500939,0.9864738319964861,0.09089974674370052,0.5300789254297702,0.9126170884299903,0.5835855554057089
1500,0.2483173124065628,0.9821923934229224,0.11844413811679806,0.49354755935775596,0.9285978202013181,0.4768584612977493
2000,0.25631658274269564,0.9816251029701076,0.12427943083401102,0.46628864706929213,0.9364464019554704,0.42444181758733196
2500,0.2583728852410365,0.9816577404591544,0.12461323257103277,0.44362483184665774,0.939974159504555,0.4008817380291015
3000,0.2596462939389654,0.9812202219105136,0.12571564901256604,0.4295985236131425,0.9440435885443633,0.3737041129796324
