Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.265874577910295,0.9728768907731389,0.1200364360264578,0.4792653072662407,0.8715483413139858,0.5421470174041486
1000,0.26513918367505357,0.9725894117825487,0.1271279994645412,0.3942762212083846,0.9264755793749457,0.31031942877185537
1500,0.17362234684130132,0.9861944519887491,0.062300786235401195,0.3412141060591846,0.9472356510905461,0.22269883222338574
2000,0.17661129065808484,0.9860253314410576,0.06359171021757419,0.32055595201159476,0.95313345949341,0.19780636086457126
2500,0.1765405305604228,0.9863990651625376,0.06161493578726386,0.3051257609759326,0.9557378695154561,0.1868141079034694
3000,0.17844332318713968,0.985932883876909,0.06271999549980357,0.2912774339290092,0.9592390965664978,0.17203672143455054
