compound,SMILES
74,C(=O)(N(=O)(=O))C(=O)C(O)(C(OO))C(=O)(OO)
75,C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)
76,C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)(O)
77,C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)(OO)
78,C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)OOC(=O)
79,C(=O)(N(=O)(=O))C(=O)C(O)(C1(=O))OOC1C(=O)
80,C(=O)(N(=O)(=O))C(=O)C(O)(C1(O))OOC1C(=O)
81,C(=O)(N(=O)(=O))C(=O)C(O)(C1(O)C(OO))OOC1C(=O)
82,C(=O)(N(=O)(=O))C(=O)C(O)(ON(=O)(=O))C(O)(C)C(=O)C(=O)
83,C(=O)(N(=O)(=O))C(=O)C(O)(OO)C(O)(C)C(=O)C(=O)
84,C(=O)(N(=O)(=O))C(=O)C(O)(OO)C(O)C(=O)C(=O)
85,C(=O)(N(=O)(=O))C(=O)C(O)C(=O)
86,C(=O)(N(=O)(=O))C(=O)C(O)C(=O)(O)
87,C(=O)(N(=O)(=O))C(=O)C(O)C(=O)(OO)
88,C(=O)(N(=O)(=O))C(=O)C(O)C(=O)C(=O)(OO)
89,C(=O)(N(=O)(=O))C(=O)C(ON(=O)(=O))(C(OO))OC(=O)
90,C(=O)(N(=O)(=O))C(=O)C(ON(=O)(=O))C(=O)C(O)(C)C(=O)(OO)
91,C(=O)(N(=O)(=O))C(=O)C(ON(=O)(=O))C(=O)OOC(=O)C(=O)
92,C(=O)(N(=O)(=O))C(=O)C(OO)
93,C(=O)(N(=O)(=O))C(=O)C(OO)(C(O))OC(=O)
94,C(=O)(N(=O)(=O))C(=O)C(OO)(C(O))OC(=O)C(=O)
95,C(=O)(N(=O)(=O))C(=O)C(OO)(C(ON(=O)(=O)))C(O)C(=O)C(=O)
96,C(=O)(N(=O)(=O))C(=O)C(OO)(C(ON(=O)(=O)))OC(=O)
97,C(=O)(N(=O)(=O))C(=O)C(OO)(C(ON(=O)(=O)))OC(=O)C(=O)
98,C(=O)(N(=O)(=O))C(=O)C(OO)(C(OO))C(=O)
99,C(=O)(N(=O)(=O))C(=O)C(OO)(C(OO))OC(=O)
100,C(=O)(N(=O)(=O))C(=O)C(OO)(C(OO))OC(=O)C(=O)
