Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
4633,0.6700059554247529,0.8207222514844232,0.8510188028478544,0.7845527866899713,0.7557409434152902,1.1580413087365726
9267,0.6987369168236661,0.8016041899272373,0.9463807440139631,0.7608195756671932,0.7657149057534947,1.1107543808292835
13900,0.7043607393193587,0.7955070809170199,0.9692657157737209,0.7518049700849146,0.7705201588907611,1.0879724962609185
18534,0.7023918143963411,0.7956938904043649,0.9703476342570593,0.7458914484564211,0.7736424976593461,1.07316937156025
23167,0.6990040656538133,0.7969747075841432,0.9640133691066971,0.7400479761823178,0.7767119842653156,1.058616820936222
27801,0.6989651064832514,0.7970965312457496,0.964479284226588,0.7357000269570106,0.7787684798394903,1.0488668986224827
