Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.26890398304191077,0.9711247526902882,0.12482233416942734,0.42505548918197117,0.9174398728129484,0.33132539417558793
1000,0.15806429086540102,0.9889572035498011,0.046681646283939726,0.36295377823744024,0.9398279774762026,0.24147878352791924
1500,0.16004258043334943,0.9881708730040065,0.04898213726087768,0.3291218502859687,0.9488487346817833,0.2052772170001724
2000,0.1615108856373511,0.9886684158192046,0.04861551204779023,0.30062129014958794,0.9567986666551731,0.17337302263302015
2500,0.16422429159054167,0.9881304020934619,0.051778128196187434,0.2951669781953048,0.9573843105805482,0.17102275124860467
3000,0.16745092209420845,0.9875190512203278,0.0547838884437075,0.28639980346471355,0.9585546967299952,0.1663258271338369
