Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
4633,0.6755823776069972,0.8125751314369536,0.8711998210487369,0.7838777083389337,0.748467579971587,1.2036179897683417
9267,0.7041894851916797,0.8001831728221084,0.9472367990350139,0.7664231394940461,0.7579186296378557,1.158393388505291
13900,0.7037381202243305,0.7973187284899039,0.9587259609322566,0.7530757579931185,0.7622466973160374,1.1376829762339584
18534,0.7042130269595122,0.796627255217161,0.9623374820830888,0.7473140708316645,0.7647922333549184,1.1255022284414682
23167,0.705078940129328,0.7949798496497515,0.9676129578979191,0.745079403529277,0.7659221765151524,1.1200952915745643
27801,0.6983133488957612,0.798610100765453,0.9560906580865426,0.7388313090244872,0.7693773782291458,1.1035616656476515
