Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.2020702407687177,0.9874705248214352,0.06848442986545486,0.7232592424086787,0.8671232309052699,0.8781341093641818
1000,0.23341792481403187,0.9840388035808786,0.09690133158712123,0.5852582434438353,0.9100849462766838,0.594215799779619
1500,0.24577919377083787,0.9828343033352192,0.10892789783281709,0.524285821284051,0.9268019643079484,0.48373912398353575
2000,0.2543546981982743,0.9813173775327895,0.12053246364765671,0.5065749344282361,0.9311312926484183,0.45512817180352527
2500,0.26230220146392874,0.9797710750949773,0.1308429632534742,0.47337647429675156,0.9399955273155084,0.3965476775033447
3000,0.2663839319851315,0.9801133703873848,0.13331312468934683,0.44041714571966256,0.9481087611522145,0.34293027381572083
