Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
4633,0.6922364740257205,0.8029319474157834,0.922339456232631,0.8030814711705327,0.743662023868436,1.2190057347939436
9267,0.7070600944237972,0.7978013835407961,0.9673010346196915,0.7804338136731911,0.7570025266605699,1.1555654687277899
13900,0.7079718509379873,0.7977014863483838,0.9661429693336041,0.7631895070083548,0.7647526752133466,1.1187099248325267
18534,0.7010584338692658,0.79925396090284,0.9635375815586652,0.7559929339189031,0.7685970043280594,1.1004283603605298
23167,0.6989919938318895,0.7986107209627481,0.9630208572620405,0.7505610009049185,0.7706848880216107,1.0904995069208998
27801,0.698423515058262,0.797254691666093,0.9632637058007073,0.7415623591311957,0.7753856114086137,1.068145391261128
