Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.2778665131034152,0.9698742571139218,0.13691456210792816,0.44885319753152203,0.9136648235900733,0.3567681126993922
1000,0.16010585001624997,0.9895238337108524,0.04652691193158689,0.38554193450515345,0.9274436859359294,0.2998288798317267
1500,0.1665118458856486,0.9879380982525835,0.0529508793506681,0.3494595889837609,0.9392779014565875,0.25092562959063935
2000,0.1732935400691737,0.9873333106408165,0.05738798203499297,0.3271068648822523,0.9505709369690657,0.20425873048911844
2500,0.18095591048211976,0.9857955997002706,0.06414021329269393,0.3144289059325313,0.9540906541136981,0.1897139887610897
3000,0.18220889197550075,0.9854213963485706,0.06518585551193426,0.309209761751653,0.9560889776268933,0.18145619468442786
