Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE
500,0.12928084788500796,0.9936845448035143,0.029805765534366944,0.47251838107873745,0.9122603907402616,0.3886176045985535
1000,0.16398223057975145,0.9882676989009038,0.053243222363849124,0.3753080458057627,0.9390010294700474,0.270177563022334
1500,0.1756904810021953,0.9866772975992761,0.061029767128183386,0.34613511713142875,0.9476808973624491,0.2317325608501521
2000,0.17705164958390668,0.986112462722397,0.06300849815508798,0.32911686803192475,0.9542113946112382,0.20280758364688095
2500,0.18162756689329693,0.9853820023019477,0.06535695449084747,0.3160099809678929,0.9597212290880065,0.1784033414333382
3000,0.18419917106913924,0.9849557059713737,0.06665815883841801,0.28822586717780774,0.965363960436611,0.15341047038468533
